"word","file","word_id"
"聽","stimuli/44.wav","44"
"是","stimuli/14.wav","14"
"個","stimuli/172.wav","172"
"什麼","stimuli/378.wav","378"
"mm","stimuli/289.wav","289"
"字","stimuli/408.wav","408"
"可是","stimuli/100.wav","100"
"eh","stimuli/333.wav","333"
"每","stimuli/320.wav","320"
"mm","stimuli/38.wav","38"
"比較","stimuli/477.wav","477"
"然後","stimuli/47.wav","47"
"根本","stimuli/274.wav","274"
"蠻","stimuli/280.wav","280"
"日本人","stimuli/240.wav","240"
"個","stimuli/10.wav","10"
"對","stimuli/110.wav","110"
"來","stimuli/94.wav","94"
"的","stimuli/336.wav","336"
"本來","stimuli/480.wav","480"
"錯","stimuli/381.wav","381"
"人家","stimuli/464.wav","464"
"啦","stimuli/469.wav","469"
"非常","stimuli/223.wav","223"
"晚上","stimuli/155.wav","155"
"都","stimuli/485.wav","485"
"反正","stimuli/92.wav","92"
"考","stimuli/426.wav","426"
"這樣","stimuli/28.wav","28"
"自己","stimuli/463.wav","463"
"個","stimuli/388.wav","388"
"啊","stimuli/62.wav","62"
"在","stimuli/343.wav","343"
"日本","stimuli/347.wav","347"
"都","stimuli/430.wav","430"
"說","stimuli/423.wav","423"
"利用","stimuli/338.wav","338"
"自己","stimuli/72.wav","72"
"學校","stimuli/241.wav","241"
"最後","stimuli/162.wav","162"
"heN","stimuli/458.wav","458"
"時候","stimuli/391.wav","391"
"有","stimuli/452.wav","452"
"就","stimuli/75.wav","75"
"補習","stimuli/318.wav","318"
"大概","stimuli/311.wav","311"
"蠻","stimuli/253.wav","253"
"是","stimuli/488.wav","488"
"去","stimuli/386.wav","386"
"還","stimuli/45.wav","45"
"說","stimuli/334.wav","334"
"很","stimuli/476.wav","476"
"歷史系","stimuli/308.wav","308"
"多","stimuli/131.wav","131"
"一樣","stimuli/215.wav","215"
"個","stimuli/257.wav","257"
"的","stimuli/21.wav","21"
"偶像","stimuli/380.wav","380"
"上面","stimuli/207.wav","207"
"講","stimuli/263.wav","263"
"要","stimuli/363.wav","363"
"認識","stimuli/382.wav","382"
"夠","stimuli/60.wav","60"
"就","stimuli/254.wav","254"
"在","stimuli/339.wav","339"
"那麼","stimuli/293.wav","293"
"heN","stimuli/434.wav","434"
"電影","stimuli/422.wav","422"
"特別","stimuli/265.wav","265"
"次","stimuli/36.wav","36"
"對","stimuli/483.wav","483"
"我","stimuli/46.wav","46"
"啊","stimuli/367.wav","367"
"來","stimuli/231.wav","231"
"研究所","stimuli/337.wav","337"
"那","stimuli/4.wav","4"
"人家","stimuli/481.wav","481"
"有","stimuli/399.wav","399"
"人","stimuli/195.wav","195"
"那裡","stimuli/358.wav","358"
"就","stimuli/145.wav","145"
"說","stimuli/221.wav","221"
"是","stimuli/161.wav","161"
"hoN","stimuli/127.wav","127"
"個","stimuli/53.wav","53"
"想","stimuli/7.wav","7"
"媒體","stimuli/288.wav","288"
"他們","stimuli/262.wav","262"
"個","stimuli/181.wav","181"
"是","stimuli/285.wav","285"
"念","stimuli/33.wav","33"
"差","stimuli/379.wav","379"
"學生","stimuli/445.wav","445"
"他","stimuli/383.wav","383"
"誰","stimuli/393.wav","393"
"那","stimuli/437.wav","437"
"愛","stimuli/183.wav","183"
"的","stimuli/491.wav","491"
"覺得","stimuli/226.wav","226"
"什麼","stimuli/410.wav","410"
"很","stimuli/411.wav","411"
"是","stimuli/429.wav","429"
"x-","stimuli/364.wav","364"
"朋友","stimuli/24.wav","24"
"還有","stimuli/278.wav","278"
"然後","stimuli/194.wav","194"
"像","stimuli/51.wav","51"
"很","stimuli/465.wav","465"
"生病","stimuli/58.wav","58"
"很多","stimuli/346.wav","346"
"對","stimuli/177.wav","177"
"啦","stimuli/497.wav","497"
"他","stimuli/499.wav","499"
"再","stimuli/414.wav","414"
"那","stimuli/449.wav","449"
"mm","stimuli/27.wav","27"
"就","stimuli/157.wav","157"
"在","stimuli/255.wav","255"
"生活","stimuli/468.wav","468"
"希望","stimuli/19.wav","19"
"就","stimuli/12.wav","12"
"很","stimuli/189.wav","189"
"會","stimuli/88.wav","88"
"也","stimuli/95.wav","95"
"學","stimuli/404.wav","404"
"都","stimuli/287.wav","287"
"你","stimuli/120.wav","120"
"就","stimuli/317.wav","317"
"像","stimuli/208.wav","208"
"我","stimuli/407.wav","407"
"小小","stimuli/310.wav","310"
"這","stimuli/26.wav","26"
"他","stimuli/269.wav","269"
"以後","stimuli/490.wav","490"
"所以","stimuli/147.wav","147"
"所以","stimuli/369.wav","369"
"個","stimuli/13.wav","13"
"做","stimuli/299.wav","299"
"很多","stimuli/479.wav","479"
"以前","stimuli/322.wav","322"
"他們","stimuli/252.wav","252"
"我","stimuli/376.wav","376"
"不一定","stimuli/461.wav","461"
"演","stimuli/235.wav","235"
"兩","stimuli/419.wav","419"
"一樣","stimuli/307.wav","307"
"回到","stimuli/439.wav","439"
"喔","stimuli/406.wav","406"
"什麼","stimuli/39.wav","39"
"一些","stimuli/474.wav","474"
"時候","stimuli/91.wav","91"
"沒有","stimuli/482.wav","482"
"他","stimuli/135.wav","135"
"想","stimuli/83.wav","83"
"樣","stimuli/242.wav","242"
"的","stimuli/205.wav","205"
"一定","stimuli/330.wav","330"
"的","stimuli/204.wav","204"
"或","stimuli/141.wav","141"
"部分","stimuli/331.wav","331"
"看到","stimuli/115.wav","115"
"人","stimuli/421.wav","421"
"自己","stimuli/225.wav","225"
"然後","stimuli/282.wav","282"
"個","stimuli/29.wav","29"
"興趣","stimuli/3.wav","3"
"覺得","stimuli/412.wav","412"
"時候","stimuli/70.wav","70"
"然後","stimuli/171.wav","171"
"他","stimuli/302.wav","302"
"去","stimuli/124.wav","124"
"那","stimuli/119.wav","119"
"一點","stimuli/118.wav","118"
"能夠","stimuli/137.wav","137"
"因為","stimuli/478.wav","478"
"愛","stimuli/362.wav","362"
"能夠","stimuli/351.wav","351"
"他","stimuli/102.wav","102"
"的","stimuli/375.wav","375"
"很","stimuli/15.wav","15"
"他們","stimuli/455.wav","455"
"hoN","stimuli/165.wav","165"
"放","stimuli/349.wav","349"
"hoN","stimuli/332.wav","332"
"都","stimuli/296.wav","296"
"好","stimuli/179.wav","179"
"有","stimuli/128.wav","128"
"會","stimuli/323.wav","323"
"什麼","stimuli/340.wav","340"
"不","stimuli/352.wav","352"
"我","stimuli/152.wav","152"
"的","stimuli/454.wav","454"
"觀念","stimuli/2.wav","2"
"現在","stimuli/104.wav","104"
"特別","stimuli/260.wav","260"
"那","stimuli/48.wav","48"
"它","stimuli/150.wav","150"
"這","stimuli/232.wav","232"
"啊","stimuli/350.wav","350"
"那","stimuli/17.wav","17"
"生活","stimuli/35.wav","35"
"沒","stimuli/168.wav","168"
"市場","stimuli/286.wav","286"
"那些","stimuli/192.wav","192"
"說","stimuli/292.wav","292"
"他","stimuli/353.wav","353"
"heN","stimuli/213.wav","213"
"然後","stimuli/90.wav","90"
"的","stimuli/37.wav","37"
"也","stimuli/272.wav","272"
"是","stimuli/16.wav","16"
"他","stimuli/250.wav","250"
"沒有","stimuli/325.wav","325"
"時候","stimuli/73.wav","73"
"我們","stimuli/298.wav","298"
"可是","stimuli/384.wav","384"
"先","stimuli/50.wav","50"
"壓力","stimuli/93.wav","93"
"然後","stimuli/356.wav","356"
"才","stimuli/111.wav","111"
"家","stimuli/98.wav","98"
"因為","stimuli/466.wav","466"
"對","stimuli/186.wav","186"
"他們","stimuli/18.wav","18"
"有","stimuli/431.wav","431"
"結果","stimuli/303.wav","303"
"還有","stimuli/327.wav","327"
"個","stimuli/402.wav","402"
"個","stimuli/271.wav","271"
"小","stimuli/493.wav","493"
"個","stimuli/319.wav","319"
"的","stimuli/8.wav","8"
"比較","stimuli/309.wav","309"
"覺得","stimuli/342.wav","342"
"一","stimuli/442.wav","442"
"啦","stimuli/453.wav","453"
"啊","stimuli/180.wav","180"
"通通","stimuli/22.wav","22"
"不","stimuli/178.wav","178"
"eh","stimuli/156.wav","156"
"這","stimuli/219.wav","219"
"去","stimuli/435.wav","435"
"爸爸","stimuli/387.wav","387"
"相信","stimuli/164.wav","164"
"啊","stimuli/142.wav","142"
"自己","stimuli/117.wav","117"
"就是","stimuli/222.wav","222"
"聰明","stimuli/277.wav","277"
"貼","stimuli/394.wav","394"
"我","stimuli/6.wav","6"
"來","stimuli/316.wav","316"
"因為","stimuli/133.wav","133"
"不","stimuli/197.wav","197"
"是","stimuli/403.wav","403"
"很多","stimuli/224.wav","224"
"區","stimuli/390.wav","390"
"也","stimuli/443.wav","443"
"辦法","stimuli/243.wav","243"
"時候","stimuli/163.wav","163"
"有","stimuli/498.wav","498"
"做","stimuli/41.wav","41"
"在","stimuli/97.wav","97"
"是","stimuli/64.wav","64"
"還","stimuli/273.wav","273"
"糟","stimuli/424.wav","424"
"就","stimuli/344.wav","344"
"對","stimuli/425.wav","425"
"做","stimuli/220.wav","220"
"他","stimuli/52.wav","52"
"學","stimuli/31.wav","31"
"可以","stimuli/185.wav","185"
"覺得","stimuli/144.wav","144"
"個","stimuli/82.wav","82"
"在","stimuli/201.wav","201"
"比較","stimuli/447.wav","447"
"了","stimuli/25.wav","25"
"個","stimuli/300.wav","300"
"啊","stimuli/360.wav","360"
"hoN","stimuli/63.wav","63"
"的","stimuli/354.wav","354"
"塊","stimuli/405.wav","405"
"是","stimuli/457.wav","457"
"也","stimuli/371.wav","371"
"那","stimuli/79.wav","79"
"就","stimuli/456.wav","456"
"人","stimuli/475.wav","475"
"那","stimuli/74.wav","74"
"紐西蘭","stimuli/398.wav","398"
"在","stimuli/40.wav","40"
"打","stimuli/96.wav","96"
"其實","stimuli/108.wav","108"
"禮拜","stimuli/159.wav","159"
"要","stimuli/409.wav","409"
"了","stimuli/212.wav","212"
"名字","stimuli/473.wav","473"
"覺得","stimuli/71.wav","71"
"啊","stimuli/244.wav","244"
"啦","stimuli/34.wav","34"
"了","stimuli/355.wav","355"
"名字","stimuli/256.wav","256"
"hoN","stimuli/199.wav","199"
"其實","stimuli/9.wav","9"
"然後","stimuli/67.wav","67"
"可以","stimuli/193.wav","193"
"朋友","stimuli/138.wav","138"
"啊","stimuli/84.wav","84"
"錢","stimuli/446.wav","446"
"用","stimuli/167.wav","167"
"uh","stimuli/30.wav","30"
"現在","stimuli/85.wav","85"
"就","stimuli/341.wav","341"
"還","stimuli/174.wav","174"
"你","stimuli/389.wav","389"
"這樣子","stimuli/321.wav","321"
"一些","stimuli/169.wav","169"
"得","stimuli/432.wav","432"
"hm","stimuli/228.wav","228"
"然後","stimuli/372.wav","372"
"是","stimuli/266.wav","266"
"我","stimuli/467.wav","467"
"我們","stimuli/361.wav","361"
"很","stimuli/249.wav","249"
"啦","stimuli/140.wav","140"
"都","stimuli/312.wav","312"
"去","stimuli/136.wav","136"
"想說","stimuli/239.wav","239"
"是","stimuli/202.wav","202"
"沒有","stimuli/191.wav","191"
"我","stimuli/101.wav","101"
"的","stimuli/125.wav","125"
"一","stimuli/370.wav","370"
"的","stimuli/1.wav","1"
"這邊","stimuli/43.wav","43"
"啊","stimuli/284.wav","284"
"外面","stimuli/170.wav","170"
"的","stimuli/436.wav","436"
"先","stimuli/275.wav","275"
"有","stimuli/160.wav","160"
"很","stimuli/99.wav","99"
"我","stimuli/113.wav","113"
"差不多","stimuli/175.wav","175"
"很多","stimuli/385.wav","385"
"你","stimuli/329.wav","329"
"uN","stimuli/268.wav","268"
"覺得","stimuli/134.wav","134"
"包括","stimuli/176.wav","176"
"女兒","stimuli/417.wav","417"
"進去","stimuli/129.wav","129"
"跟","stimuli/290.wav","290"
"人","stimuli/492.wav","492"
"也","stimuli/182.wav","182"
"了","stimuli/281.wav","281"
"一些","stimuli/433.wav","433"
"X","stimuli/306.wav","306"
"以前","stimuli/210.wav","210"
"幹嘛","stimuli/294.wav","294"
"變成","stimuli/348.wav","348"
"就","stimuli/59.wav","59"
"是","stimuli/472.wav","472"
"就","stimuli/459.wav","459"
"我","stimuli/301.wav","301"
"說","stimuli/149.wav","149"
"啦","stimuli/188.wav","188"
"的","stimuli/396.wav","396"
"我","stimuli/54.wav","54"
"這樣","stimuli/413.wav","413"
"個","stimuli/5.wav","5"
"實習","stimuli/103.wav","103"
"誰","stimuli/121.wav","121"
"從","stimuli/233.wav","233"
"社會","stimuli/313.wav","313"
"而","stimuli/315.wav","315"
"睡覺","stimuli/279.wav","279"
"不","stimuli/305.wav","305"
"必須","stimuli/80.wav","80"
"根本","stimuli/139.wav","139"
"美國","stimuli/32.wav","32"
"就","stimuli/126.wav","126"
"那","stimuli/20.wav","20"
"比較","stimuli/324.wav","324"
"到","stimuli/328.wav","328"
"遠","stimuli/276.wav","276"
"感覺","stimuli/295.wav","295"
"會","stimuli/270.wav","270"
"發","stimuli/132.wav","132"
"年","stimuli/428.wav","428"
"新","stimuli/357.wav","357"
"啊","stimuli/297.wav","297"
"個","stimuli/261.wav","261"
"還","stimuli/49.wav","49"
"他","stimuli/264.wav","264"
"我們","stimuli/214.wav","214"
"也","stimuli/105.wav","105"
"吃","stimuli/153.wav","153"
"的","stimuli/335.wav","335"
"次","stimuli/234.wav","234"
"一些","stimuli/496.wav","496"
"想","stimuli/392.wav","392"
"去","stimuli/450.wav","450"
"個","stimuli/487.wav","487"
"啊","stimuli/246.wav","246"
"集","stimuli/444.wav","444"
"是","stimuli/198.wav","198"
"要","stimuli/314.wav","314"
"那","stimuli/227.wav","227"
"也","stimuli/415.wav","415"
"讓","stimuli/291.wav","291"
"你","stimuli/238.wav","238"
"一樣","stimuli/259.wav","259"
"看","stimuli/484.wav","484"
"覺得","stimuli/218.wav","218"
"你","stimuli/229.wav","229"
"這樣","stimuli/460.wav","460"
"一點","stimuli/216.wav","216"
"尤其","stimuli/304.wav","304"
"那","stimuli/116.wav","116"
"還是","stimuli/368.wav","368"
"可以","stimuli/471.wav","471"
"這樣","stimuli/248.wav","248"
"比較","stimuli/217.wav","217"
"以前","stimuli/23.wav","23"
"朋友","stimuli/203.wav","203"
"這樣","stimuli/65.wav","65"
"是","stimuli/377.wav","377"
"常常","stimuli/401.wav","401"
"然後","stimuli/69.wav","69"
"我","stimuli/86.wav","86"
"啊","stimuli/112.wav","112"
"我","stimuli/345.wav","345"
"跟","stimuli/56.wav","56"
"就","stimuli/57.wav","57"
"我","stimuli/373.wav","373"
"的","stimuli/130.wav","130"
"的","stimuli/173.wav","173"
"反正","stimuli/143.wav","143"
"差","stimuli/109.wav","109"
"有","stimuli/77.wav","77"
"他","stimuli/418.wav","418"
"好玩","stimuli/448.wav","448"
"那","stimuli/470.wav","470"
"很","stimuli/486.wav","486"
"人","stimuli/230.wav","230"
"那麼","stimuli/397.wav","397"
"好","stimuli/258.wav","258"
"對","stimuli/359.wav","359"
"或","stimuli/76.wav","76"
"都","stimuli/251.wav","251"
"菠菜","stimuli/107.wav","107"
"常常","stimuli/365.wav","365"
"我","stimuli/122.wav","122"
"就是","stimuli/55.wav","55"
"糟糕","stimuli/267.wav","267"
"找","stimuli/196.wav","196"
"都","stimuli/245.wav","245"
"覺得","stimuli/78.wav","78"
"唸佛","stimuli/500.wav","500"
"個","stimuli/416.wav","416"
"很多","stimuli/68.wav","68"
"我","stimuli/211.wav","211"
"要","stimuli/200.wav","200"
"分","stimuli/146.wav","146"
"那","stimuli/87.wav","87"
"了","stimuli/166.wav","166"
"他","stimuli/438.wav","438"
"有","stimuli/81.wav","81"
"沒有","stimuli/187.wav","187"
"要","stimuli/209.wav","209"
"的","stimuli/42.wav","42"
"大","stimuli/158.wav","158"
"對","stimuli/494.wav","494"
"我","stimuli/451.wav","451"
"然後","stimuli/11.wav","11"
"私立","stimuli/106.wav","106"
"好像","stimuli/151.wav","151"
"hoN","stimuli/247.wav","247"
"裡面","stimuli/66.wav","66"
"一直","stimuli/400.wav","400"
"十四","stimuli/237.wav","237"
"我們","stimuli/495.wav","495"
"一","stimuli/190.wav","190"
"mm","stimuli/148.wav","148"
"那","stimuli/89.wav","89"
"講話","stimuli/283.wav","283"
"唸","stimuli/326.wav","326"
"是","stimuli/374.wav","374"
"有","stimuli/395.wav","395"
"自己","stimuli/427.wav","427"
"不","stimuli/206.wav","206"
"反對","stimuli/61.wav","61"
"對","stimuli/420.wav","420"
